frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto
"1","Oct  7, 2020 20:10:02.481376000 Eastern Daylight Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"2","Oct  7, 2020 20:10:04.120302000 Eastern Daylight Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"3","Oct  7, 2020 20:10:05.349330000 Eastern Daylight Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"4","Oct  7, 2020 20:10:06.987618000 Eastern Daylight Time","14:b3:1f:04:3b:a1","ff:ff:ff:ff:ff:ff","192.168.11.108","192.168.11.255","17"
"5","Oct  7, 2020 20:10:07.192633000 Eastern Daylight Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"6","Oct  7, 2020 20:10:08.421106000 Eastern Daylight Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"7","Oct  7, 2020 20:10:10.264329000 Eastern Daylight Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"8","Oct  7, 2020 20:10:11.493442000 Eastern Daylight Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"9","Oct  7, 2020 20:10:13.131594000 Eastern Daylight Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"10","Oct  7, 2020 20:10:14.360652000 Eastern Daylight Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"11","Oct  7, 2020 20:10:16.205808000 Eastern Daylight Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"12","Oct  7, 2020 20:10:17.435062000 Eastern Daylight Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"13","Oct  7, 2020 20:10:19.277567000 Eastern Daylight Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"14","Oct  7, 2020 20:10:20.504309000 Eastern Daylight Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"15","Oct  7, 2020 20:10:21.936576000 Eastern Daylight Time","68:ff:7b:55:9f:aa","ff:ff:ff:ff:ff:ff",,,
"16","Oct  7, 2020 20:10:22.152366000 Eastern Daylight Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"17","Oct  7, 2020 20:10:23.371552000 Eastern Daylight Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"18","Oct  7, 2020 20:10:25.217822000 Eastern Daylight Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"19","Oct  7, 2020 20:10:26.443538000 Eastern Daylight Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"20","Oct  7, 2020 20:10:28.287069000 Eastern Daylight Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"21","Oct  7, 2020 20:10:29.310778000 Eastern Daylight Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"22","Oct  7, 2020 20:10:30.745075000 Eastern Daylight Time","02:55:da:05:26:14","01:00:5e:7f:ff:fa","192.168.11.114","239.255.255.250","17"
"23","Oct  7, 2020 20:10:31.155959000 Eastern Daylight Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
