frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto
"1","Nov  5, 2020 18:00:03.033404000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"2","Nov  5, 2020 18:00:03.648118000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"3","Nov  5, 2020 18:00:05.904754000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"4","Nov  5, 2020 18:00:06.719406000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"5","Nov  5, 2020 18:00:08.972446000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"6","Nov  5, 2020 18:00:09.586998000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"7","Nov  5, 2020 18:00:12.044842000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"8","Nov  5, 2020 18:00:12.659267000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"9","Nov  5, 2020 18:00:14.912455000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"10","Nov  5, 2020 18:00:15.731595000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"11","Nov  5, 2020 18:00:17.985813000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"12","Nov  5, 2020 18:00:18.598457000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"13","Nov  5, 2020 18:00:21.057827000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"14","Nov  5, 2020 18:00:21.670795000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"15","Nov  5, 2020 18:00:23.923301000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"16","Nov  5, 2020 18:00:24.742606000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"17","Nov  5, 2020 18:00:26.995199000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"18","Nov  5, 2020 18:00:27.609705000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"19","Nov  5, 2020 18:00:29.862808000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"20","Nov  5, 2020 18:00:30.681445000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"21","Nov  5, 2020 18:00:32.934531000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"22","Nov  5, 2020 18:00:33.753739000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"23","Nov  5, 2020 18:00:36.007243000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"24","Nov  5, 2020 18:00:36.620943000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"25","Nov  5, 2020 18:00:37.643094000 Eastern Standard Time","68:ff:7b:36:62:b6","ff:ff:ff:ff:ff:ff",,,
"26","Nov  5, 2020 18:00:38.873565000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"27","Nov  5, 2020 18:00:39.692934000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"28","Nov  5, 2020 18:00:41.945701000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"29","Nov  5, 2020 18:00:42.764963000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"30","Nov  5, 2020 18:00:45.017788000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"31","Nov  5, 2020 18:00:45.631526000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"32","Nov  5, 2020 18:00:47.886628000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"33","Nov  5, 2020 18:00:48.704209000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"34","Nov  5, 2020 18:00:50.956996000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"35","Nov  5, 2020 18:00:51.571424000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"36","Nov  5, 2020 18:00:54.028432000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"37","Nov  5, 2020 18:00:54.643472000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"38","Nov  5, 2020 18:00:56.896221000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"39","Nov  5, 2020 18:00:57.715434000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"40","Nov  5, 2020 18:00:58.123956000 Eastern Standard Time","1c:f2:9a:46:fd:ab","01:00:5e:00:00:fb","192.168.11.146","224.0.0.251","17"
"41","Nov  5, 2020 18:00:58.125583000 Eastern Standard Time","1c:f2:9a:46:fd:ab","01:00:5e:00:00:fb","192.168.11.146","224.0.0.251","17"
"42","Nov  5, 2020 18:00:58.130201000 Eastern Standard Time","1c:f2:9a:46:fd:ab","01:00:5e:00:00:fb","192.168.11.146","224.0.0.251","17"
"43","Nov  5, 2020 18:00:58.130201000 Eastern Standard Time","1c:f2:9a:46:fd:ab","01:00:5e:00:00:fb","192.168.11.146","224.0.0.251","17"
"44","Nov  5, 2020 18:00:58.132317000 Eastern Standard Time","1c:f2:9a:46:fd:ab","01:00:5e:00:00:fb","192.168.11.146","224.0.0.251","17"
"45","Nov  5, 2020 18:00:58.137215000 Eastern Standard Time","1c:f2:9a:46:fd:ab","01:00:5e:00:00:fb","192.168.11.146","224.0.0.251","17"
"46","Nov  5, 2020 18:00:59.968234000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"47","Nov  5, 2020 18:01:00.582617000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"48","Nov  5, 2020 18:01:03.040225000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"49","Nov  5, 2020 18:01:03.654660000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
