frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto
"1","Sep 28, 2020 19:30:04.444228000 Eastern Daylight Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"2","Sep 28, 2020 19:30:04.448727000 Eastern Daylight Time","b0:be:76:db:bd:87","ff:ff:ff:ff:ff:ff",,,
"3","Sep 28, 2020 19:30:05.058814000 Eastern Daylight Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"4","Sep 28, 2020 19:30:05.262169000 Eastern Daylight Time","e0:89:7e:6c:25:34","ff:ff:ff:ff:ff:ff",,,
"5","Sep 28, 2020 19:30:05.467022000 Eastern Daylight Time","b0:be:76:db:c4:c8","ff:ff:ff:ff:ff:ff",,,
"6","Sep 28, 2020 19:30:07.312293000 Eastern Daylight Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"7","Sep 28, 2020 19:30:07.924940000 Eastern Daylight Time","68:ff:7b:55:9f:aa","ff:ff:ff:ff:ff:ff",,,
"8","Sep 28, 2020 19:30:08.130841000 Eastern Daylight Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"9","Sep 28, 2020 19:30:10.383428000 Eastern Daylight Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"10","Sep 28, 2020 19:30:10.997992000 Eastern Daylight Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"11","Sep 28, 2020 19:30:13.455656000 Eastern Daylight Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"12","Sep 28, 2020 19:30:14.070060000 Eastern Daylight Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"13","Sep 28, 2020 19:30:14.478250000 Eastern Daylight Time","68:ff:7b:36:62:b6","ff:ff:ff:ff:ff:ff",,,
"14","Sep 28, 2020 19:30:16.322440000 Eastern Daylight Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"15","Sep 28, 2020 19:30:17.142069000 Eastern Daylight Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"16","Sep 28, 2020 19:30:18.579361000 Eastern Daylight Time","24:f5:a2:bf:1a:48","ff:ff:ff:ff:ff:ff",,,
"17","Sep 28, 2020 19:30:18.986058000 Eastern Daylight Time","24:f5:a2:bf:1a:48","ff:ff:ff:ff:ff:ff",,,
"18","Sep 28, 2020 19:30:19.394864000 Eastern Daylight Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"19","Sep 28, 2020 19:30:19.805657000 Eastern Daylight Time","e0:89:7e:6c:25:34","01:00:5e:00:00:fb","192.168.11.129","224.0.0.251","17"
"20","Sep 28, 2020 19:30:19.810215000 Eastern Daylight Time","e0:89:7e:6c:25:34","33:33:00:00:00:fb",,,
"21","Sep 28, 2020 19:30:19.816305000 Eastern Daylight Time","e0:89:7e:6c:25:34","01:00:5e:00:00:fb","192.168.11.129","224.0.0.251","17"
"22","Sep 28, 2020 19:30:19.818493000 Eastern Daylight Time","e0:89:7e:6c:25:34","33:33:00:00:00:fb",,,
"23","Sep 28, 2020 19:30:19.822442000 Eastern Daylight Time","24:f5:a2:bf:1a:48","ff:ff:ff:ff:ff:ff",,,
"24","Sep 28, 2020 19:30:19.823790000 Eastern Daylight Time","e0:89:7e:6c:25:34","01:00:5e:00:00:fb","192.168.11.129","224.0.0.251","17"
"25","Sep 28, 2020 19:30:19.829717000 Eastern Daylight Time","e0:89:7e:6c:25:34","33:33:00:00:00:fb",,,
